name,column_name,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7
soybean,leaf-mild,63,15,5,59,0,21,2,63
soybean,sclerotia,46,50,58,57,91,12,57,34
soybean,fruit-spots,84,44,43,78,86,21,4,39
stars,L,36,64,45,30,44,47,36,48
stars,R,92,35,66,97,9,36,10,86
stars,A_M,1,52,95,33,1,86,10,95
stars,Color,39,36,99,28,50,30,76,10
stars,Spectral_Class,64,20,29,64,53,79,30,97
visualizing_soil,northing,60,2,89,26,78,24,72,64
visualizing_soil,easting,75,23,20,26,21,54,94,63
visualizing_soil,resistivity,22,50,82,99,14,39,3,28
visualizing_soil,isns,68,28,39,98,17,20,15,47
wall-robot-navigation,V1,53,0,20,3,98,95,35,2
wall-robot-navigation,V2,48,48,60,71,59,56,84,9
wall-robot-navigation,V4,54,57,56,82,81,95,52,45
