name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_method,impute_standard,impute_mode,impute_random,impute_knn,impute_mice,impute_logistic_regression,impute_random_forest,impute_kproto,impute_xgb_imputer,impute_catboost,impute_rfi,impute_mlp
BachChoralHarmony,V1,5665.0,0.4976,0.0365,5.2,0.0211,0.9815,4.0333,0.0039,8.0,0.0,,,8.0,8.0,MLP,0.4205347308884606,0.4279716292131557,0.3957822066846549,0.1594639291816165,0.4034007371093118,0.2172974024442358,0.1565383457292097,0.4279716292131557,0.4232227845080543,0.4104449395287304,0.4032773685156076,0.421760281416233
BachChoralHarmony,V1,5665.0,0.4976,0.0365,5.2,0.0211,0.9815,4.0333,0.0039,8.0,0.0,,,8.0,8.0,TabNet,0.398461604430568,0.3940488599245485,0.3623594311494657,0.1575711329390934,0.3817658967779312,0.2125012544532695,0.1592923365947156,0.3940488599245485,0.3895451230472413,0.391823885851795,0.3752930462372173,0.3922949504375037
BachChoralHarmony,V1,5665.0,0.4508,0.0389,6.3684,0.0193,0.9815,4.0321,0.0114,8.0,0.0,,,8.0,8.0,MLP,0.4308482107550327,0.4341477848352565,0.4049643307104598,0.1654415171976828,0.4134546708795327,0.230693777758608,0.1683542390835625,0.4341477848352565,0.4312890401000757,0.4297080698164338,0.4139119457311659,0.4209046936856671
BachChoralHarmony,V1,5665.0,0.4508,0.0389,6.3684,0.0193,0.9815,4.0321,0.0114,8.0,0.0,,,8.0,8.0,TabNet,0.40853136615055,0.4033044669646001,0.3696129033750115,0.1677926148300362,0.3903478256841516,0.2245736193586336,0.1621405204277264,0.4033044669646001,0.4069038676626196,0.405912856227812,0.3810370629175811,0.3952723239003543
BachChoralHarmony,V1,5665.0,0.3977,0.0358,5.5455,0.0176,0.9817,4.0401,0.0055,8.0,0.0,,,8.0,8.0,MLP,0.4281367390445785,0.4345325042966284,0.4071484443016022,0.1764943271610552,0.4132238615953337,0.2070738448635369,0.1689961095792076,0.4345325042966284,0.4322559470282501,0.42735670352736,0.4096233154370046,0.427446016278637
BachChoralHarmony,V1,5665.0,0.3977,0.0358,5.5455,0.0176,0.9817,4.0401,0.0055,8.0,0.0,,,8.0,8.0,TabNet,0.4136920411700785,0.4111756415571082,0.379178517525379,0.1721364110720982,0.3942180842501163,0.2048757113324397,0.1657931433176918,0.4111756415571082,0.4078604285368452,0.4055323951574341,0.3892981404618295,0.402665751836436
BachChoralHarmony,V1,5665.0,0.355,0.0356,4.6429,0.0164,0.9816,4.0388,0.0046,8.0,0.0,,,8.0,8.0,MLP,0.4450579086343872,0.452431565126791,0.4282573665337305,0.1794890686369815,0.4283098222345163,0.2042356225512127,0.1806304236336041,0.452431565126791,0.4417644250411415,0.4413962547372632,0.4248651309896852,0.4419988898171643
BachChoralHarmony,V1,5665.0,0.355,0.0356,4.6429,0.0164,0.9816,4.0388,0.0046,8.0,0.0,,,8.0,8.0,TabNet,0.4206803704878732,0.4242125836355053,0.4013849606542988,0.1781183238804329,0.4024339558892791,0.1990430953541607,0.172447603725656,0.4242125836355053,0.4133816506046558,0.4116738356639345,0.3913929983238853,0.4143555584803142
BachChoralHarmony,V1,5665.0,0.298,0.0377,6.25,0.0151,0.9816,4.0372,0.0062,8.0,0.0,,,8.0,8.0,MLP,0.4558569650180492,0.4623409510919095,0.4409791757236719,0.1765976259302345,0.4350879807512635,0.2103982147857113,0.1719150748073751,0.4623409510919095,0.4593189099783258,0.4554202843257093,0.4374351492047602,0.4499704004971845
BachChoralHarmony,V1,5665.0,0.298,0.0377,6.25,0.0151,0.9816,4.0372,0.0062,8.0,0.0,,,8.0,8.0,TabNet,0.4370431438369481,0.4287338974433191,0.4054809915436,0.1812229258487074,0.4117843367582786,0.2084141719713,0.1699931105802358,0.4287338974433191,0.4355393070795539,0.4324437426781788,0.4146659623901579,0.4200728762722431
