name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_method,impute_standard,impute_mode,impute_random,impute_knn,impute_mice,impute_logistic_regression,impute_random_forest,impute_kproto,impute_xgb_imputer,impute_catboost,impute_rfi,impute_mlp
BachChoralHarmony,V1,5665,0.4996,0.0367,4.7273,0.0212,0.9814,4.0319,0.0058,8.0,0.0,,,8.0,8.0,DecisionTree,0.3442162328156797,0.3445187168313987,0.3464855056128552,0.3278486405719867,0.323372463485989,0.347043994270456,0.3185995229585801,0.3480026364479791,0.4388272915838157,0.4336903462637892,0.4281179298288566,0.4304903226913656
BachChoralHarmony,V1,5665,0.4996,0.0367,4.7273,0.0212,0.9814,4.0319,0.0058,8.0,0.0,,,8.0,8.0,LogisticRegression,0.427928248277344,0.4263973319807581,0.3995575216236803,0.4074895762434845,0.4082170617578152,0.4154138726700953,0.4020550805643478,0.4263973319807581,0.5001726480630657,0.4969268194546424,0.4968166041291061,0.4961634309848693
BachChoralHarmony,V1,5665,0.4996,0.0367,4.7273,0.0212,0.9814,4.0319,0.0058,8.0,0.0,,,8.0,8.0,KNN,0.3661189192557629,0.3656560272774626,0.3248537063546073,0.3483505408277592,0.3482022751733426,0.3556903078011091,0.3486661936426476,0.3656560272774626,0.4602023109543598,0.4585854642692111,0.4585701420743385,0.4584895974966101
BachChoralHarmony,V1,5665,0.4996,0.0367,4.7273,0.0212,0.9814,4.0319,0.0058,8.0,0.0,,,8.0,8.0,RandomForest,0.4049373839465673,0.404210626033184,0.3879977646746135,0.3727128619195847,0.3694843057915796,0.3845009026987949,0.3566279003744813,0.404592786058666,0.4733811584681729,0.472982306023811,0.4666713104355289,0.4703139159364398
BachChoralHarmony,V1,5665,0.4996,0.0367,4.7273,0.0212,0.9814,4.0319,0.0058,8.0,0.0,,,8.0,8.0,AdaBoost,0.0580271006121658,0.0580271006121658,0.0627925394252876,0.0623723367373013,0.0623723367373013,0.0621395723148882,0.0627925394252876,0.0580271006121658,0.0619545582019639,0.0619545582019639,0.0619545582019639,0.0619545582019639
BachChoralHarmony,V1,5665,0.5017,0.0344,4.619,0.0213,0.9815,4.032,0.0083,8.0,0.0,,,8.0,8.0,SVC,0.42067754619989,0.4202361072240351,0.3900454980654739,0.4047341151033445,0.4050533025449755,0.409454049223493,0.4009462726055912,0.4202361072240351,0.4998040319706228,0.4964033971136737,0.4976840062806206,0.4985539411177414
BachChoralHarmony,V1,5665,0.4524,0.0332,5.15,0.0193,0.9816,4.0364,0.0073,8.0,0.0,,,8.0,8.0,DecisionTree,0.3557001821334806,0.3584112978581583,0.3471260813731814,0.3368657306904576,0.3281353965191685,0.3593590093507652,0.3203952760105543,0.3596562460404882,0.4340830579312242,0.4397433988483428,0.4259687647427493,0.4341159957452937
BachChoralHarmony,V1,5665,0.4524,0.0332,5.15,0.0193,0.9816,4.0364,0.0073,8.0,0.0,,,8.0,8.0,LogisticRegression,0.4398052248293178,0.4392207076423825,0.4075935203960442,0.4136575482620938,0.4145184795912451,0.4338552868363722,0.411336316600828,0.4392207076423825,0.4961659088061436,0.4972829456406809,0.49393287837232,0.4970431778480964
BachChoralHarmony,V1,5665,0.4524,0.0332,5.15,0.0193,0.9816,4.0364,0.0073,8.0,0.0,,,8.0,8.0,KNN,0.372338703758902,0.3705909417202286,0.3378358270464521,0.3521860444208455,0.3513506980368152,0.3718187196351981,0.3570688940176643,0.3705909417202286,0.4582197342302808,0.4609730286870463,0.456902589939641,0.4596897494364302
BachChoralHarmony,V1,5665,0.4524,0.0332,5.15,0.0193,0.9816,4.0364,0.0073,8.0,0.0,,,8.0,8.0,RandomForest,0.4088131542401571,0.4079160179123432,0.3962533245817308,0.375591628230528,0.372954958083135,0.3934021891987099,0.3569742122166734,0.4083274220381408,0.4668855720547308,0.4775303765164215,0.4648842682954149,0.468490219528374
