name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_expectation_maximization,impute_soft_imputer,impute_xgb_imputer,impute_catboost,impute_rfi,impute_autoimpute,impute_gain,impute_vae,impute_mlp
BachChoralHarmony,V2,5665.0,0.4902,0.0644,1.0,205.0,53.4131,47.0,37.3182,0.9075,0.6935,25.0,51.0,0.0482,0.0482,0.0305,0.0305,0.0406,0.0406,4.8683,0.0027,DecisionTree,0.4388018032158601,0.4336682997348833,0.4409463104488593,0.4433480616037614,0.442243001529484,0.4461674178443454,0.4342855503645234,0.4332221224446816,0.4404742385242648
BachChoralHarmony,V2,5665.0,0.4902,0.0644,1.0,205.0,53.4131,47.0,37.3182,0.9075,0.6935,25.0,51.0,0.0482,0.0482,0.0305,0.0305,0.0406,0.0406,4.8683,0.0027,LogisticRegression,0.5123607573440627,0.5100116529985018,0.5108215277724482,0.5103612755173738,0.5103630085102902,0.5102057471995491,0.5103827276073754,0.5114729909718528,0.511795142285572
BachChoralHarmony,V2,5665.0,0.4902,0.0644,1.0,205.0,53.4131,47.0,37.3182,0.9075,0.6935,25.0,51.0,0.0482,0.0482,0.0305,0.0305,0.0406,0.0406,4.8683,0.0027,KNN,0.4622447293290522,0.4613450862140835,0.4570624272447764,0.459115294486444,0.4594306363785485,0.4612310099130254,0.4613473806742866,0.4581846023990403,0.4593930549024722
BachChoralHarmony,V2,5665.0,0.4902,0.0644,1.0,205.0,53.4131,47.0,37.3182,0.9075,0.6935,25.0,51.0,0.0482,0.0482,0.0305,0.0305,0.0406,0.0406,4.8683,0.0027,RandomForest,0.4690425692871225,0.4740999422460501,0.4780401695862197,0.476115532819069,0.478386601433202,0.4752208988528494,0.4705470272819841,0.4713635203285407,0.4804612347527458
BachChoralHarmony,V2,5665.0,0.4902,0.0644,1.0,205.0,53.4131,47.0,37.3182,0.9075,0.6935,25.0,51.0,0.0482,0.0482,0.0305,0.0305,0.0406,0.0406,4.8683,0.0027,AdaBoost,0.0598667636023817,0.0572536441756193,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817,0.0598667636023817
BachChoralHarmony,V2,5665.0,0.4902,0.0644,1.0,205.0,53.4131,47.0,37.3182,0.9075,0.6935,25.0,51.0,0.0482,0.0482,0.0305,0.0305,0.0406,0.0406,4.8683,0.0027,SVC,0.5064828245088603,0.5029770456177693,0.50601831204056,0.5057686349830663,0.5070170311047653,0.5064224082169178,0.5059146876268891,0.5025819056667299,0.5070983983581748
BachChoralHarmony,V2,5665.0,0.4542,0.0608,1.0,207.0,52.6953,47.0,37.0594,0.9684,0.9377,25.0,50.0,0.0769,0.0769,0.0502,0.0502,0.0666,0.0666,4.8573,0.0027,DecisionTree,0.4412901949689998,0.4422298957510453,0.437714326935806,0.4403083003894137,0.4395275375009683,0.4438178878932983,0.4377887418415518,0.436190838953941,0.4384766444501559
BachChoralHarmony,V2,5665.0,0.4542,0.0608,1.0,207.0,52.6953,47.0,37.0594,0.9684,0.9377,25.0,50.0,0.0769,0.0769,0.0502,0.0502,0.0666,0.0666,4.8573,0.0027,LogisticRegression,0.5099515860382715,0.5070397240511458,0.5113342733986826,0.5138734702547135,0.5129027192309187,0.5120931919886751,0.511676563911291,0.5080361026459345,0.5141854631205983
BachChoralHarmony,V2,5665.0,0.4542,0.0608,1.0,207.0,52.6953,47.0,37.0594,0.9684,0.9377,25.0,50.0,0.0769,0.0769,0.0502,0.0502,0.0666,0.0666,4.8573,0.0027,KNN,0.4674059502931892,0.459269549182325,0.4603664666530969,0.4665011395651557,0.4640308036206171,0.4661249608137752,0.4717468212830656,0.459801529534067,0.4641063517213052
BachChoralHarmony,V2,5665.0,0.4542,0.0608,1.0,207.0,52.6953,47.0,37.0594,0.9684,0.9377,25.0,50.0,0.0769,0.0769,0.0502,0.0502,0.0666,0.0666,4.8573,0.0027,RandomForest,0.4752097081867684,0.4735630682230558,0.4745950458531773,0.477242322508137,0.4780665215427089,0.4770176442580464,0.4700961537514231,0.4744532823547743,0.480314055228248
