iter	MultiClass
0	4.075958358
1	4.057646601
2	4.042727024
3	4.023749165
4	4.005574456
5	3.991811611
6	3.980362216
7	3.968030682
8	3.949254091
9	3.931226558
10	3.917757643
11	3.905224955
12	3.888187423
13	3.876220949
14	3.867089439
15	3.860288419
16	3.853987363
17	3.850871734
18	3.840470958
19	3.829291309
20	3.816037958
21	3.806688548
22	3.799360011
23	3.790200135
24	3.781883876
25	3.776658368
26	3.765288276
27	3.761857814
28	3.752255457
29	3.743506666
30	3.734558426
31	3.726416069
32	3.718558615
33	3.715736501
34	3.710175892
35	3.701334145
36	3.692744263
37	3.687125778
38	3.679572991
39	3.672436042
40	3.662745333
41	3.656527431
42	3.649125026
43	3.647025072
44	3.641931966
45	3.632069633
46	3.626898553
47	3.621354908
48	3.614225766
49	3.611378297
50	3.60549204
51	3.597194397
52	3.595146365
53	3.589419626
54	3.586824822
55	3.584316599
56	3.582169173
57	3.578077041
58	3.572944627
59	3.571704465
60	3.566667784
61	3.562628942
62	3.559092229
63	3.557503726
64	3.554608191
65	3.549061918
66	3.546024022
67	3.541362989
68	3.53820696
69	3.534973782
70	3.530334022
71	3.523685926
72	3.520644332
73	3.519323074
74	3.511623198
75	3.506085867
76	3.50373191
77	3.5012901
78	3.497083744
79	3.495717531
80	3.491239968
81	3.488225876
82	3.483659795
83	3.480364316
84	3.478080246
