iter	Passed	Remaining
0	4	976
1	7	717
2	10	689
3	13	637
4	16	637
5	19	640
6	23	638
7	25	613
8	28	598
9	31	598
10	35	602
11	38	606
12	42	604
13	44	587
14	47	588
15	50	576
16	53	577
17	56	567
18	59	562
19	62	562
20	65	558
21	68	558
22	71	553
23	74	549
24	78	548
25	82	549
26	85	549
27	88	545
28	91	540
29	94	537
30	98	535
31	101	534
32	104	531
33	108	528
34	112	528
35	115	525
36	119	525
37	122	522
38	126	521
39	129	519
40	133	515
41	136	513
42	140	512
43	143	508
44	146	504
45	149	500
46	152	497
47	156	494
48	159	492
49	163	489
50	166	485
51	169	482
52	172	479
53	176	476
54	179	473
55	182	469
56	186	467
57	189	464
58	192	460
59	196	457
60	199	454
61	202	450
62	205	447
63	209	444
64	212	441
65	215	437
66	219	435
67	222	431
68	225	428
69	228	424
70	231	421
71	235	417
72	238	414
73	241	411
74	244	408
75	248	405
76	251	401
77	254	398
78	258	395
79	261	391
80	264	388
81	267	384
82	270	381
83	274	378
84	277	375
85	281	372
86	284	369
87	287	365
88	290	362
89	293	359
90	296	355
91	300	352
92	303	349
93	307	346
94	310	343
95	314	340
96	317	337
97	321	334
98	324	330
99	327	327
100	330	324
101	334	321
102	338	318
103	341	315
104	344	311
105	348	309
106	352	305
107	355	302
108	358	299
109	361	296
110	365	292
111	368	289
112	372	286
113	375	283
114	378	279
115	381	276
116	384	272
117	388	269
118	392	267
119	395	263
120	399	260
121	402	257
122	405	254
123	409	251
124	413	247
125	416	244
126	419	241
127	423	238
128	426	234
129	429	231
130	432	227
131	436	224
132	439	221
133	442	218
134	446	214
135	449	211
136	452	207
137	455	204
138	459	201
139	462	198
140	465	194
141	468	191
142	472	188
143	475	185
144	479	181
145	482	178
146	486	175
147	489	171
148	491	168
149	494	164
150	498	161
151	501	158
152	504	155
153	507	151
154	511	148
155	514	145
156	518	141
157	521	138
158	524	135
159	528	132
160	531	128
161	534	125
162	538	122
163	542	119
164	545	115
165	548	112
166	551	109
167	555	105
168	558	102
169	561	99
170	564	95
171	568	92
172	571	89
173	574	85
174	577	82
175	580	79
176	583	75
177	587	72
178	590	69
179	593	65
180	597	62
181	600	59
182	603	56
183	606	52
184	610	49
185	613	46
186	616	42
187	620	39
188	623	36
189	626	32
190	629	29
191	633	26
192	636	23
193	639	19
194	642	16
195	645	13
196	649	9
197	652	6
198	655	3
199	658	0
